match_title,year,match_time,match_link,red_team_name,red_logo_path,red_score,blue_team_name,blue_logo_path,blue_score
"超级对抗赛-区域赛中部赛区瑞士轮第一轮",2025,"2025年05月21日 16:05","https://www.bilibili.com/video/BV1gRJBzfE7d","四川大学 火锅","source/school_logos/四川大学.png",0,"河北科技大学 Actor&Thinker","source/school_logos/河北科技大学.png",2
"超级对抗赛-区域赛中部赛区瑞士轮第二轮",2025,"2025年05月22日 14:10","https://www.bilibili.com/video/BV1r6JJzxEub","南昌大学 Passion","source/school_logos/南昌大学.png",2,"四川大学 火锅","source/school_logos/四川大学.png",0
"超级对抗赛-区域赛中部赛区瑞士轮第三轮",2025,"2025年05月23日 13:35","https://www.bilibili.com/video/BV1exjEzKEof","重庆理工大学 士继DREAMER","source/school_logos/重庆理工大学.png",0,"四川大学 火锅","source/school_logos/四川大学.png",2
"超级对抗赛-区域赛中部赛区瑞士轮第四轮",2025,"2025年05月23日 21:35","https://www.bilibili.com/video/BV1FHjpzxExy","四川大学 火锅","source/school_logos/四川大学.png",2,"重庆大学 千里","source/school_logos/重庆大学.png",0
"超级对抗赛-区域赛中部赛区瑞士轮第五轮",2025,"2025年05月24日 11:25","https://www.bilibili.com/video/BV1r4j4zqEhw","四川大学 火锅","source/school_logos/四川大学.png",2,"西南交通大学 Helios","source/school_logos/西南交通大学.png",1
"超级对抗赛-区域赛中部赛区16进8淘汰赛",2025,"2025年05月24日 18:15","https://www.bilibili.com/video/BV1C1jtzVETD","四川大学 火锅","source/school_logos/四川大学.png",0,"浙江大学 Hello World","source/school_logos/浙江大学.png",2
"超级对抗赛-区域赛中部赛区复活赛名额争夺战",2025,"2025年05月25日 10:15","https://www.bilibili.com/video/BV1UFjuzwEiZ","四川大学 火锅","source/school_logos/四川大学.png",2,"东北林业大学 Ares","source/school_logos/东北林业大学.png",1
"超级对抗赛-复活赛第一赛段",2025,"2025年07月25日 19:35","https://www.bilibili.com/video/BV18ib9zbEoA","四川大学 火锅","source/school_logos/四川大学.png",2,"东北林业大学 Ares","source/school_logos/东北林业大学.png",0
"超级对抗赛-复活赛第一赛段",2025,"2025年07月26日 13:00","https://www.bilibili.com/video/BV12u88zXEE2","华东理工大学 起源","source/school_logos/华东理工大学.png",1,"四川大学 火锅","source/school_logos/四川大学.png",2
"超级对抗赛-复活赛第一赛段",2025,"2025年07月26日 18:40","https://www.bilibili.com/video/BV1Ne8hzxEab","四川大学 火锅","source/school_logos/四川大学.png",0,"西安交通大学 笃行","source/school_logos/西安交通大学.png",2
"超级对抗赛-复活赛第二赛段",2025,"2025年07月27日 09:00","https://www.bilibili.com/video/BV1Du8ezuE4G","四川大学 火锅","source/school_logos/四川大学.png",0,"大连理工大学 凌BUG","source/school_logos/大连理工大学.png",2
"超级对抗赛-复活赛第二赛段",2025,"2025年07月27日 15:10","https://www.bilibili.com/video/BV14z8vzBEYF","新潟联合大学 Phoenix Robots","source/school_logos/新潟联合大学.png",0,"四川大学 火锅","source/school_logos/四川大学.png",2
"超级对抗赛-复活赛第二赛段",2025,"2025年07月27日 19:35","https://www.bilibili.com/video/BV19J8gz5EVp","四川大学 火锅","source/school_logos/四川大学.png",0,"华东理工大学 起源","source/school_logos/华东理工大学.png",2
"高校联盟赛-小组赛",2025,"2025年03月28日 19:40","https://www.bilibili.com/video/BV1pdoRYVEu7","湘潭大学 逐曦","source/school_logos/湘潭大学.png",0,"四川大学 火锅","source/school_logos/四川大学.png",2
"高校联盟赛-小组赛",2025,"2025年03月29日 9:50","https://www.bilibili.com/video/BV1pWZcYbEkA","四川大学 火锅","source/school_logos/四川大学.png",2,"重庆大学 千里","source/school_logos/重庆大学.png",0
"高校联盟赛-小组赛",2025,"2025年03月29日 20:20","https://www.bilibili.com/video/BV14EZAY6EJ1","贵阳人文科技学院 BIU","source/school_logos/贵阳人文科技学院.png",0,"四川大学 火锅","source/school_logos/四川大学.png",2
